cluster,size,coherence
265,8,0.8884623391287667
266,7,0.8956505911690849
267,10,0.8689800686306424
268,5,0.8483917236328125
269,7,0.8977541242327008
270,6,0.9211333592732748
271,6,0.8089467366536458
272,6,0.8648951212565105
273,14,0.8442932799622253
274,7,0.8462958562941778
275,6,0.7931923548380534
276,10,0.8421090867784288
277,7,0.6439602261497861
278,6,0.777130126953125
279,6,0.8466943105061849
280,12,0.8359957030325225
281,12,0.831225366303415
282,25,0.8943280029296875
283,10,0.9121044582790798
284,6,0.9380234400431315
285,13,0.7742577088184845
286,7,0.8157815479096913
287,15,0.7940144856770833
288,9,0.8532151116265191
289,8,0.8066763877868652
290,10,0.8885959201388889
291,9,0.8163955476548936
292,12,0.8425698135838364
293,19,0.8093615080180921
294,13,0.7477318201309595
295,8,0.8387775421142578
296,12,0.9129016760623816
297,5,0.8469907760620117
298,5,0.9417483329772949
299,16,0.7495251337687174
300,51,0.8030217428768383
301,57,0.9262574465950031
302,9,0.9587510426839193
303,13,0.9638082064115084
304,22,0.7731748638731061
305,6,0.9213862101236979
306,7,0.7859062013171968
307,14,0.8701930622478108
308,5,0.9321395874023437
309,5,0.8635251998901368
310,6,0.9526469548543294
311,25,0.9128516642252604
312,20,0.7918493170487253
313,42,0.7760344360209785
314,45,0.9145271686592488
315,5,0.9523561477661133
316,14,0.7995667509980254
317,13,0.9032448010566907
318,12,0.9057022441517223
319,5,0.9509511947631836
320,43,0.7680198356822744
321,6,0.9030335744222006
322,5,0.9020459175109863
323,14,0.7738141070355425
324,92,0.7360188957611682
325,17,0.7754642262178308
326,9,0.8654949400160048
327,18,0.7098104938182955
328,15,0.8765016101655506
329,11,0.918711991743608
330,92,0.7770832788984113
331,59,0.8122347414249708
332,35,0.8414379985392595
333,14,0.9083594018286401
334,7,0.883768808274042
335,6,0.9143566131591797
336,15,0.6242450532459077
337,6,0.7814025243123373
338,8,0.9196667671203613
339,18,0.8801552766288807
340,16,0.8676841100056966
341,13,0.8217878097142929
342,15,0.8778521583193825
343,14,0.9224161001352164
344,13,0.7560989673321064
345,33,0.8907269564541903
346,5,0.9646634101867676
347,27,0.8553002512353098
348,7,0.9672718048095703
349,15,0.9623090471540179
350,39,0.818806307196778
351,26,0.8878977614182693
352,11,0.876197676225142
353,17,0.8483517590691062
354,6,0.8855789184570313
355,14,0.9213313846797734
356,10,0.97010743882921
357,6,0.8543708801269532
358,12,0.8238363554983428
359,5,0.9176195144653321
360,11,0.9150446111505682
361,10,0.9272821214463975
362,17,0.7846026701085708
363,8,0.728968620300293
364,14,0.8112581693209134
365,7,0.9558062780471075
366,5,0.9514432907104492
367,19,0.913328828867416
368,5,0.9216947555541992
369,41,0.8479099180640244
370,7,0.9456203097388858
371,22,0.9243408467346456
372,24,0.8509370002193727
373,20,0.9211030658922698
374,31,0.8945934008526546
375,5,0.8101922035217285
376,15,0.8814323061988467
377,6,0.8049674987792969
378,20,0.8678463584498355
379,13,0.8094369937212039
380,6,0.9402711868286133
381,5,0.9453997611999512
382,25,0.8652546183268229
383,5,0.9438043594360351
384,20,0.8477495695415296
385,6,0.8972611745198568
386,61,0.8870031804986339
387,7,0.9169928232828776
388,60,0.8549085369217867
389,15,0.9352866036551339
390,12,0.9433682759602865
391,15,0.8132460094633557
392,8,0.8325926916939872
393,21,0.8362593877883184
394,23,0.8668783436650815
395,13,0.8188396845108423
396,13,0.812214582394331
397,5,0.8995898246765137
398,9,0.9860426584879557
399,10,0.9036037021213108
400,8,0.9296379089355469
401,18,0.7881304672340942
402,8,0.837339060647147
403,22,0.7822484928808171
404,6,0.7902124404907227
405,25,0.6791435241699219
406,16,0.7113363901774089
407,8,0.8294601440429688
408,9,0.9004046122233073
409,33,0.7456981774532434
410,5,0.933475112915039
411,16,0.8096151351928711
412,22,0.900514809084145
413,8,0.8011179651532855
414,5,0.8764678955078125
415,21,0.8346718924386161
416,8,0.9094339098249163
417,23,0.9267578728114192
418,6,0.9779017130533855
419,5,0.9028802871704101
420,6,0.8435417811075846
421,5,0.8857973098754883
422,8,0.8060928072248187
423,29,0.7433829471982759
424,11,0.8384386929598722
425,25,0.8829133097330729
426,21,0.7723637172154018
427,22,0.7076102252646442
428,8,0.8331218447004046
429,5,0.8727718353271484
430,41,0.6826113817168445
431,11,0.8118966536088423
432,9,0.9159614774915907
433,7,0.9022122337704613
434,12,0.8253755280465791
435,5,0.8581232070922852
436,5,0.889792537689209
437,6,0.8602134704589843
438,5,0.8721390724182129
439,10,0.8512176513671875
440,17,0.8209018707275391
441,21,0.7924477713448661
442,5,0.8504205703735351
443,6,0.8766606648763021
444,6,0.9063099543253581
445,11,0.9564646634188565
446,52,0.6811076951062877
447,9,0.870732413397895
448,17,0.8430940964642692
449,21,0.7890466599237351
450,5,0.9776559829711914
451,6,0.8308029174804688
452,9,0.8004773457845052
453,5,0.8374517440795899
454,10,0.7804718865288629
455,6,0.8382828394571941
456,6,0.9049128850301107
457,8,0.8338984080723354
458,32,0.8110730571131552
459,33,0.7932111566716974
460,22,0.7815791538783482
461,25,0.7140918477376302
462,11,0.7830922213467685
463,25,0.7087481689453125
464,21,0.7717603410993303
465,5,0.9166964530944824
466,5,0.7323848247528076
467,5,0.8838850021362304
468,45,0.6554518574416035
469,10,0.8086529201931424
470,15,0.7595123291015625
471,6,0.8771113713582357
472,8,0.8636331558227539
473,9,0.8474617534213595
474,5,0.8753936767578125
475,5,0.889621353149414
476,14,0.8119184892256182
477,9,0.9477888743082682
478,11,0.9000918995250355
479,17,0.8824722626629997
480,11,0.830156777121804
481,7,0.9398564838227772
482,12,0.9401156107584635
483,5,0.9292171478271485
484,5,0.9179426193237304
485,7,0.9389078049432664
486,17,0.7931299770579618
487,7,0.9494510832287016
488,10,0.9416207207573785
489,18,0.7208708220837163
490,39,0.9068862153129217
491,38,0.936566153427276
492,6,0.8688597361246745
493,5,0.9061138153076171
494,7,0.8143998100644066
495,5,0.8484865188598633
496,18,0.8916592068142362
497,11,0.7916752901944247
498,11,0.775875577059659
499,13,0.8112156207744892
500,9,0.9175874922010634
501,9,0.796340094672309
502,5,0.9128026962280273
503,7,0.9026107788085938
504,8,0.8830757822309222
505,6,0.8348812739054362
506,5,0.9351734161376953
507,22,0.8797660926719765
508,5,0.6990972995758057
509,6,0.9608524322509766
510,14,0.8853940858945741
511,9,0.9028426276312934
512,28,0.8315428880156663
513,6,0.9143576939900716
514,5,0.9735653877258301
515,18,0.8630372091056475
516,22,0.8585459391276041
517,7,0.8370423089890253
518,44,0.8614789708724233
519,9,0.89130613538954
520,11,0.9400373979048295
521,5,0.9456959724426269
522,11,0.9485953591086648
523,5,0.7242176055908203
524,14,0.8322140201107486
525,11,0.9751681241122159
526,26,0.8580320387620193
527,6,0.8328384399414063
528,8,0.8028439113071987
529,5,0.909972095489502
530,6,0.9384651184082031
531,5,0.9373361587524414
532,9,0.912542978922526
533,15,0.8323065621512277
534,7,0.9707943144298735
535,10,0.9352218627929687
536,9,0.9766962263319228
537,5,0.9747146606445313
538,27,0.9096238008591524
539,15,0.9486969720749628
