product_id,cluster_id,gross_margin,z_score
44211060,cluster_1253,-0.2344827586206897,-2.0235387648344836
1317712,cluster_1266,1.0,2.6100648569217824
128018,cluster_1268,1.0,2.0405646934413233
250070,cluster_1274,1.0,2.267786838055364
44201010,cluster_1278,-0.5861904761904763,-3.383957997840432
190801,cluster_1281,1.0,2.2666069225086645
13110B,cluster_1310,0.27390041493775935,-2.2677868380553634
144151,cluster_1326,1.0,2.1370210102631972
144141,cluster_1326,1.0,2.1370210102631972
144165,cluster_1333,1.0,2.266228418902863
143100,cluster_1337,1.0,2.9019765893388967
141160,cluster_1339,1.0,2.0370978573956213
15223397,cluster_136,-0.4825751072961374,-2.2596413579584733
1012596,cluster_156,1.0,2.230871511365895
20021,cluster_162,1.0,2.474655452603248
744075,cluster_174,0.21480144404332138,-2.2677868380553634
84200,cluster_180,1.0,2.6033180219564973
78002,cluster_192,0.3489932885906041,2.0759152172375703
10387012,cluster_195,1.0,2.0412129397067424
52161010,cluster_196,1.0,2.8765661885833844
10164577,cluster_198,0.21702525724976618,-2.931403981467803
10164575,cluster_198,0.22057142857142853,-2.9166558886414458
50130548,cluster_202,0.2839231873653984,-2.2677868380553634
75051789,cluster_210,0.1901914580265096,2.067920945127194
46081080,cluster_235,-0.043165467625899324,-2.146037065422229
17091590,cluster_245,1.0,2.9219874399311054
180005,cluster_250,1.0,2.0066394611450833
622366,cluster_266,1.0,2.467798166550745
150007,cluster_267,1.0,2.6207488892727686
10233350,cluster_270,-0.6101694915254238,-2.4956807239469208
16061056,cluster_29,-0.6667224080267559,-2.2868743560138296
83791,cluster_299,-1.5454500000000002,-2.1521816609994624
30004,cluster_303,-3.925650557620818,-2.302428047174704
30003,cluster_303,-3.925650557620818,-2.302428047174704
52009980,cluster_317,1.0,2.1505734227950866
52101280,cluster_318,0.013529411764705885,-2.670611231304397
153700005,cluster_322,1.0,2.6399325935144784
9503524,cluster_348,1.0,2.2458851058194567
15030005,cluster_350,-4.477826086956521,-2.023660967935634
15004032,cluster_351,0.33834586466165417,-2.4748737341529163
15010182,cluster_352,1.0,2.3284971732114204
15010181,cluster_352,1.0,2.3284971732114204
54051040,cluster_385,-0.811743119266055,-3.592969228596819
10042404,cluster_395,1.0,3.4182274566756234
1832633,cluster_407,0.2267234600262123,-2.474873734152917
10440PK,cluster_408,-3.5,-3.342680888574373
71202,cluster_429,0.9149249886346416,2.118384477981299
21061,cluster_430,1.0,2.618089914812632
22199,cluster_437,-1.7414563106796117,-2.7990278985773402
11301001,cluster_448,0.03420537897310511,-2.1026375282782075
13021002,cluster_462,-0.1639344262295082,-2.855195823555813
10437100,cluster_470,0.3527240143369175,-2.041241452319315
10448PZ,cluster_473,0.23122238586156116,-2.0412414523193148
10304T1,cluster_494,0.21816386969397836,-2.4748737341529163
13209S,cluster_501,0.326241134751773,-2.041241452319315
11121024,cluster_516,1.0,2.7121471955680354
11121034,cluster_516,0.9871794871794871,2.669117382528501
10209,cluster_518,0.14145383104125733,-2.304165861353483
10206,cluster_518,0.1616444444444444,-2.239777224728383
53063610,cluster_530,0.5617977528089888,2.2921363886630357
53063610,cluster_530,0.5617977528089888,2.2921363886630357
10165391,cluster_548,0.24193548387096772,-2.267786838055364
