cluster_id,product_count,mean_margin,median_margin,std_margin,min_margin,max_margin,margin_range,high_variance
cluster_411,12,0.6061123439043214,0.6112100737100737,0.4114161845712828,0.20954497354497345,1.0,0.7904550264550265,True
cluster_412,3,0.7471644444444445,1.0,0.4379240281821258,0.2414933333333334,1.0,0.7585066666666667,True
cluster_413,1,0.321608040201005,0.321608040201005,0.0,0.321608040201005,0.321608040201005,0.0,False
cluster_414,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_415,3,0.7414500683994528,1.0,0.44782161782560576,0.22435020519835838,1.0,0.7756497948016416,True
cluster_416,4,0.6913318037801813,0.7684660766961652,0.3780219525797435,0.2283950617283951,1.0,0.7716049382716049,True
cluster_417,4,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_418,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_42,8,0.10117781155015199,0.10053191489361699,0.023799986849624855,0.06079027355623105,0.1306990881458967,0.06990881458966565,False
cluster_420,3,0.5590738849165815,0.4044943820224719,0.3874951896410074,0.27272727272727265,1.0,0.7272727272727273,True
cluster_421,4,0.8078281519861831,1.0,0.38434369602763385,0.23131260794473224,1.0,0.7686873920552677,True
cluster_422,2,0.1361136250387189,0.1361136250387189,0.016792083827854458,0.12423982869379006,0.14798742138364776,0.023747592689857697,False
cluster_423,5,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_424,6,0.19156582941446787,0.16898379861342827,0.09556202467773116,0.09602194787379975,0.3693693693693694,0.2733474214955697,False
cluster_425,4,0.18729122633865167,0.20821117105372813,0.10563037479375255,0.041666666666666664,0.2910758965804838,0.24940922991381712,False
cluster_426,3,0.22622255932517735,0.17266187050359713,0.12011333617187965,0.14220735785953184,0.36379844961240315,0.2215910917528713,False
cluster_427,3,0.7388439652590596,1.0,0.4523355208745316,0.2165318957771788,1.0,0.7834681042228212,True
cluster_428,4,0.14417413670626694,0.16237979314333367,0.06704970465333461,0.04809619238476958,0.2038407681536308,0.15574457576886122,False
cluster_429,7,0.31892609343576755,0.23901940755873333,0.28134595083836117,0.07821229050279337,0.9149249886346416,0.8367126981318482,True
cluster_43,3,0.1616423059760228,0.15993537964458804,0.010062569017996407,0.1525423728813559,0.17244916540212446,0.019906792520768574,False
cluster_430,9,0.28255971200040275,0.1666666666666667,0.2740319512864943,0.1307102367455818,1.0,0.8692897632544182,True
cluster_431,3,0.11868910202479109,0.10482921083627804,0.04276656950582455,0.08457142857142859,0.16666666666666663,0.08209523809523804,False
cluster_432,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_433,9,0.17364975626471743,0.16143042912873867,0.05394712699970804,0.10532019704433497,0.2626928281461435,0.1573726311018085,False
cluster_434,2,0.15402287021154945,0.15402287021154945,0.06680036548993196,0.10678787878787874,0.20125786163522016,0.09446998284734143,False
cluster_435,4,0.22841651114554382,0.2439810623038996,0.078777714539435,0.11897590361445784,0.3067280163599182,0.18775211274546036,False
cluster_436,5,0.2427139202713049,0.2527777777777778,0.03461057809848781,0.1830065359477124,0.2687074829931973,0.0857009470454849,False
cluster_437,11,0.3995397854248384,0.6534383954154728,0.7649070226104757,-1.7414563106796117,1.0,2.7414563106796117,True
cluster_438,1,0.3395522388059702,0.3395522388059702,0.0,0.3395522388059702,0.3395522388059702,0.0,False
cluster_439,4,0.4116666666666667,0.24000000000000002,0.39374272480051403,0.16666666666666669,1.0,0.8333333333333333,True
